Fecha,Hora,AE_kWh
10/03/2023,1,"0,105"
10/03/2023,2,"0,105"
10/03/2023,3,"0,105"
10/03/2023,4,"0,080"
10/03/2023,5,"0,126"
10/03/2023,6,"2,052"
10/03/2023,7,"0,140"
10/03/2023,8,"0,750"
10/03/2023,9,"0,313"
10/03/2023,10,"0,248"
10/03/2023,11,"0,123"
10/03/2023,12,"0,117"
10/03/2023,13,"0,117"
10/03/2023,14,"0,121"
10/03/2023,15,"0,105"
10/03/2023,16,"1,140"
10/03/2023,17,"0,264"
10/03/2023,18,"0,394"
10/03/2023,19,"0,200"
10/03/2023,20,"0,106"
10/03/2023,21,"0,595"
10/03/2023,22,"0,185"
10/03/2023,23,"0,544"
10/03/2023,24,"0,835"
11/03/2023,1,"0,207"
11/03/2023,2,"0,107"
11/03/2023,3,"0,113"
11/03/2023,4,"0,115"
11/03/2023,5,"0,111"
11/03/2023,6,"0,162"
11/03/2023,7,"0,147"
11/03/2023,8,"0,473"
11/03/2023,9,"0,478"
11/03/2023,10,"0,337"
11/03/2023,11,"0,131"
11/03/2023,12,"1,324"
11/03/2023,13,"0,613"
11/03/2023,14,"0,242"
11/03/2023,15,"1,214"
11/03/2023,16,"0,646"
11/03/2023,17,"0,119"
11/03/2023,18,"0,090"
11/03/2023,19,"0,128"
11/03/2023,20,"0,276"
11/03/2023,21,"1,724"
11/03/2023,22,"0,490"
11/03/2023,23,"0,379"
11/03/2023,24,"0,321"
12/03/2023,1,"0,215"
12/03/2023,2,"0,145"
12/03/2023,3,"0,110"
12/03/2023,4,"0,089"
12/03/2023,5,"0,089"
12/03/2023,6,"0,082"
12/03/2023,7,"0,082"
12/03/2023,8,"0,089"
12/03/2023,9,"0,114"
12/03/2023,10,"0,438"
12/03/2023,11,"1,075"
12/03/2023,12,"0,622"
12/03/2023,13,"0,279"
12/03/2023,14,"0,199"
12/03/2023,15,"0,165"
12/03/2023,16,"0,096"
12/03/2023,17,"0,091"
12/03/2023,18,"0,113"
12/03/2023,19,"0,093"
12/03/2023,20,"0,059"
12/03/2023,21,"0,084"
12/03/2023,22,"0,090"
12/03/2023,23,"0,144"
12/03/2023,24,"0,107"
13/03/2023,1,"0,084"
13/03/2023,2,"0,083"
13/03/2023,3,"0,093"
13/03/2023,4,"0,075"
13/03/2023,5,"0,152"
13/03/2023,6,"0,089"
13/03/2023,7,"0,228"
13/03/2023,8,"0,097"
13/03/2023,9,"0,061"
13/03/2023,10,"0,084"
13/03/2023,11,"0,090"
13/03/2023,12,"0,058"
13/03/2023,13,"0,084"
13/03/2023,14,"0,094"
13/03/2023,15,"0,054"
13/03/2023,16,"0,089"
13/03/2023,17,"0,094"
13/03/2023,18,"0,280"
13/03/2023,19,"2,391"
13/03/2023,20,"1,055"
13/03/2023,21,"0,802"
13/03/2023,22,"0,461"
13/03/2023,23,"0,363"
13/03/2023,24,"0,383"
14/03/2023,1,"0,119"
14/03/2023,2,"0,124"
14/03/2023,3,"0,091"
14/03/2023,4,"0,092"
14/03/2023,5,"0,145"
14/03/2023,6,"0,135"
14/03/2023,7,"0,091"
14/03/2023,8,"0,349"
14/03/2023,9,"0,104"
14/03/2023,10,"0,061"
