Fecha,Hora,AE_kWh
09/05/2024,1,"0,138"
09/05/2024,2,"0,537"
09/05/2024,3,"0,237"
09/05/2024,4,"0,118"
09/05/2024,5,"0,124"
09/05/2024,6,"0,101"
09/05/2024,7,"0,092"
09/05/2024,8,"0,122"
09/05/2024,9,"0,171"
09/05/2024,10,"0,148"
09/05/2024,11,"0,151"
09/05/2024,12,"0,153"
09/05/2024,13,"0,147"
09/05/2024,14,"0,246"
09/05/2024,15,"3,087"
09/05/2024,16,"0,286"
09/05/2024,17,"0,564"
09/05/2024,18,"0,311"
09/05/2024,19,"0,128"
09/05/2024,20,"0,136"
09/05/2024,21,"0,168"
09/05/2024,22,"0,221"
09/05/2024,23,"0,291"
09/05/2024,24,"0,270"
10/05/2024,1,"0,423"
10/05/2024,2,"0,164"
10/05/2024,3,"0,229"
10/05/2024,4,"0,086"
10/05/2024,5,"0,086"
10/05/2024,6,"0,088"
10/05/2024,7,"0,085"
10/05/2024,8,"0,086"
10/05/2024,9,"0,084"
10/05/2024,10,"0,089"
10/05/2024,11,"0,087"
10/05/2024,12,"0,301"
10/05/2024,13,"0,217"
10/05/2024,14,"0,129"
10/05/2024,15,"0,530"
10/05/2024,16,"0,255"
10/05/2024,17,"0,270"
10/05/2024,18,"0,191"
10/05/2024,19,"0,135"
10/05/2024,20,"0,091"
10/05/2024,21,"1,598"
10/05/2024,22,"0,288"
10/05/2024,23,"0,162"
10/05/2024,24,"0,195"
11/05/2024,1,"0,415"
11/05/2024,2,"0,685"
11/05/2024,3,"0,130"
11/05/2024,4,"0,109"
11/05/2024,5,"0,085"
11/05/2024,6,"0,114"
11/05/2024,7,"0,119"
11/05/2024,8,"0,144"
11/05/2024,9,"0,051"
11/05/2024,10,"0,061"
11/05/2024,11,"0,052"
11/05/2024,12,"0,061"
11/05/2024,13,"0,052"
11/05/2024,14,"0,037"
11/05/2024,15,"0,050"
11/05/2024,16,"0,061"
11/05/2024,17,"0,053"
11/05/2024,18,"0,037"
11/05/2024,19,"0,057"
11/05/2024,20,"0,059"
11/05/2024,21,"0,058"
11/05/2024,22,"0,030"
11/05/2024,23,"0,061"
11/05/2024,24,"0,050"
12/05/2024,1,"0,036"
12/05/2024,2,"0,054"
12/05/2024,3,"0,055"
12/05/2024,4,"0,034"
12/05/2024,5,"0,049"
12/05/2024,6,"0,063"
12/05/2024,7,"0,030"
12/05/2024,8,"0,094"
12/05/2024,9,"0,090"
12/05/2024,10,"0,036"
12/05/2024,11,"0,055"
12/05/2024,12,"0,056"
12/05/2024,13,"0,034"
12/05/2024,14,"0,056"
12/05/2024,15,"0,059"
12/05/2024,16,"0,027"
12/05/2024,17,"0,060"
12/05/2024,18,"0,052"
12/05/2024,19,"0,037"
12/05/2024,20,"0,052"
12/05/2024,21,"0,061"
12/05/2024,22,"0,053"
12/05/2024,23,"0,037"
12/05/2024,24,"0,052"
13/05/2024,1,"0,061"
13/05/2024,2,"0,027"
13/05/2024,3,"0,059"
13/05/2024,4,"0,050"
13/05/2024,5,"0,037"
13/05/2024,6,"0,048"
13/05/2024,7,"0,060"
13/05/2024,8,"0,026"
13/05/2024,9,"0,059"
13/05/2024,10,"0,053"
13/05/2024,11,"0,033"
13/05/2024,12,"0,055"
13/05/2024,13,"0,055"
13/05/2024,14,"0,034"
13/05/2024,15,"0,052"
13/05/2024,16,"0,061"
13/05/2024,17,"0,027"
13/05/2024,18,"0,060"
13/05/2024,19,"0,057"
13/05/2024,20,"0,108"
13/05/2024,21,"0,062"
13/05/2024,22,"0,058"
13/05/2024,23,"0,056"
13/05/2024,24,"0,029"
14/05/2024,1,"0,060"
14/05/2024,2,"0,031"
14/05/2024,3,"0,057"
14/05/2024,4,"0,054"
14/05/2024,5,"0,059"
14/05/2024,6,"0,028"
14/05/2024,7,"0,059"
14/05/2024,8,"0,030"
14/05/2024,9,"0,055"
14/05/2024,10,"0,058"
14/05/2024,11,"0,030"
14/05/2024,12,"0,057"
14/05/2024,13,"0,053"
14/05/2024,14,"0,033"
14/05/2024,15,"0,052"
14/05/2024,16,"0,060"
14/05/2024,17,"0,049"
14/05/2024,18,"0,037"
14/05/2024,19,"0,052"
14/05/2024,20,"0,060"
14/05/2024,21,"0,027"
14/05/2024,22,"0,062"
14/05/2024,23,"0,053"
14/05/2024,24,"0,031"
15/05/2024,1,"0,055"
15/05/2024,2,"0,052"
15/05/2024,3,"0,059"
15/05/2024,4,"0,023"
15/05/2024,5,"0,059"
15/05/2024,6,"0,050"
15/05/2024,7,"0,055"
15/05/2024,8,"0,092"
15/05/2024,9,"0,067"
15/05/2024,10,"0,039"
15/05/2024,11,"0,051"
15/05/2024,12,"0,059"
15/05/2024,13,"0,050"
15/05/2024,14,"0,035"
15/05/2024,15,"0,049"
15/05/2024,16,"0,059"
15/05/2024,17,"0,048"
15/05/2024,18,"0,036"
15/05/2024,19,"0,048"
15/05/2024,20,"0,060"
15/05/2024,21,"0,049"
15/05/2024,22,"0,060"
15/05/2024,23,"0,026"
15/05/2024,24,"0,057"
16/05/2024,1,"0,051"
16/05/2024,2,"0,054"
16/05/2024,3,"0,027"
16/05/2024,4,"0,051"
16/05/2024,5,"0,056"
16/05/2024,6,"0,047"
16/05/2024,7,"0,035"
16/05/2024,8,"0,048"
16/05/2024,9,"0,055"
16/05/2024,10,"0,052"
16/05/2024,11,"0,050"
16/05/2024,12,"0,034"
16/05/2024,13,"0,046"
16/05/2024,14,"0,057"
16/05/2024,15,"0,053"
16/05/2024,16,"0,047"
16/05/2024,17,"0,035"
16/05/2024,18,"0,049"
16/05/2024,19,"0,092"
16/05/2024,20,"0,086"
16/05/2024,21,"0,057"
16/05/2024,22,"0,030"
16/05/2024,23,"0,051"
16/05/2024,24,"0,057"
17/05/2024,1,"0,048"
17/05/2024,2,"0,058"
17/05/2024,3,"0,023"
17/05/2024,4,"0,060"
17/05/2024,5,"0,067"
17/05/2024,6,"0,025"
17/05/2024,7,"0,055"
17/05/2024,8,"0,058"
17/05/2024,9,"0,032"
17/05/2024,10,"0,051"
17/05/2024,11,"0,048"
17/05/2024,12,"0,056"
17/05/2024,13,"0,022"
17/05/2024,14,"0,062"
17/05/2024,15,"0,053"
17/05/2024,16,"0,047"
17/05/2024,17,"0,033"
17/05/2024,18,"0,049"
17/05/2024,19,"0,054"
17/05/2024,20,"0,055"
17/05/2024,21,"0,047"
17/05/2024,22,"0,058"
17/05/2024,23,"0,048"
17/05/2024,24,"0,031"
18/05/2024,1,"0,059"
18/05/2024,2,"0,046"
18/05/2024,3,"0,057"
18/05/2024,4,"0,049"
18/05/2024,5,"0,025"
18/05/2024,6,"0,055"
18/05/2024,7,"0,106"
18/05/2024,8,"0,062"
18/05/2024,9,"0,058"
18/05/2024,10,"0,034"
18/05/2024,11,"0,050"
18/05/2024,12,"0,053"
18/05/2024,13,"0,053"
18/05/2024,14,"0,050"
18/05/2024,15,"0,059"
18/05/2024,16,"0,022"
18/05/2024,17,"0,057"
18/05/2024,18,"0,049"
18/05/2024,19,"0,056"
18/05/2024,20,"0,052"
18/05/2024,21,"0,055"
18/05/2024,22,"0,030"
18/05/2024,23,"0,051"
18/05/2024,24,"0,056"
19/05/2024,1,"0,049"
19/05/2024,2,"0,056"
19/05/2024,3,"0,026"
19/05/2024,4,"0,052"
19/05/2024,5,"0,057"
19/05/2024,6,"0,046"
19/05/2024,7,"0,053"
19/05/2024,8,"0,053"
19/05/2024,9,"0,021"
19/05/2024,10,"0,057"
19/05/2024,11,"0,050"
19/05/2024,12,"0,049"
19/05/2024,13,"0,057"
19/05/2024,14,"0,051"
19/05/2024,15,"0,028"
19/05/2024,16,"0,055"
19/05/2024,17,"0,047"
19/05/2024,18,"0,058"
19/05/2024,19,"0,117"
19/05/2024,20,"0,057"
19/05/2024,21,"0,044"
19/05/2024,22,"0,051"
19/05/2024,23,"0,063"
19/05/2024,24,"0,079"
20/05/2024,1,"1,531"
20/05/2024,2,"0,229"
20/05/2024,3,"0,111"
20/05/2024,4,"0,077"
20/05/2024,5,"0,106"
20/05/2024,6,"0,079"
20/05/2024,7,"0,138"
20/05/2024,8,"0,308"
20/05/2024,9,"0,185"
20/05/2024,10,"0,084"
20/05/2024,11,"0,077"
20/05/2024,12,"0,096"
20/05/2024,13,"0,167"
20/05/2024,14,"0,366"
20/05/2024,15,"0,324"
20/05/2024,16,"0,155"
20/05/2024,17,"0,123"
20/05/2024,18,"0,127"
20/05/2024,19,"0,107"
20/05/2024,20,"0,231"
20/05/2024,21,"0,240"
20/05/2024,22,"0,561"
20/05/2024,23,"0,183"
20/05/2024,24,"1,141"
21/05/2024,1,"0,576"
21/05/2024,2,"0,272"
21/05/2024,3,"0,192"
21/05/2024,4,"0,123"
21/05/2024,5,"0,087"
21/05/2024,6,"0,115"
21/05/2024,7,"0,093"
21/05/2024,8,"0,088"
21/05/2024,9,"0,085"
21/05/2024,10,"0,091"
21/05/2024,11,"0,092"
21/05/2024,12,"0,181"
21/05/2024,13,"0,666"
21/05/2024,14,"0,685"
21/05/2024,15,"0,423"
21/05/2024,16,"0,859"
21/05/2024,17,"0,302"
21/05/2024,18,"0,168"
21/05/2024,19,"0,105"
21/05/2024,20,"0,138"
21/05/2024,21,"0,224"
21/05/2024,22,"1,061"
21/05/2024,23,"0,204"
21/05/2024,24,"0,178"
22/05/2024,1,"0,101"
22/05/2024,2,"0,096"
22/05/2024,3,"0,098"
22/05/2024,4,"0,090"
22/05/2024,5,"0,096"
22/05/2024,6,"0,062"
22/05/2024,7,"0,096"
22/05/2024,8,"0,178"
22/05/2024,9,"0,337"
22/05/2024,10,"0,407"
22/05/2024,11,"0,796"
22/05/2024,12,"0,306"
22/05/2024,13,"0,111"
22/05/2024,14,"0,112"
22/05/2024,15,"0,075"
22/05/2024,16,"0,090"
22/05/2024,17,"0,089"
22/05/2024,18,"0,087"
22/05/2024,19,"0,080"
22/05/2024,20,"0,082"
22/05/2024,21,"0,690"
22/05/2024,22,"0,377"
22/05/2024,23,"0,202"
22/05/2024,24,"0,356"
23/05/2024,1,"0,219"
23/05/2024,2,"0,121"
23/05/2024,3,"0,086"
23/05/2024,4,"0,115"
23/05/2024,5,"0,083"
23/05/2024,6,"0,091"
23/05/2024,7,"0,084"
23/05/2024,8,"0,089"
23/05/2024,9,"0,084"
23/05/2024,10,"0,147"
23/05/2024,11,"0,087"
23/05/2024,12,"0,448"
23/05/2024,13,"0,392"
23/05/2024,14,"0,161"
23/05/2024,15,"1,504"
23/05/2024,16,"0,155"
23/05/2024,17,"0,165"
23/05/2024,18,"0,106"
23/05/2024,19,"0,110"
23/05/2024,20,"0,109"
23/05/2024,21,"0,539"
23/05/2024,22,"1,068"
23/05/2024,23,"0,276"
23/05/2024,24,"0,201"
24/05/2024,1,"0,181"
24/05/2024,2,"0,109"
24/05/2024,3,"0,107"
24/05/2024,4,"0,112"
24/05/2024,5,"0,105"
24/05/2024,6,"0,108"
24/05/2024,7,"0,104"
24/05/2024,8,"0,108"
24/05/2024,9,"0,200"
24/05/2024,10,"0,137"
24/05/2024,11,"0,143"
24/05/2024,12,"0,130"
24/05/2024,13,"0,104"
24/05/2024,14,"0,723"
24/05/2024,15,"0,456"
24/05/2024,16,"0,252"
24/05/2024,17,"0,135"
24/05/2024,18,"0,100"
24/05/2024,19,"0,119"
24/05/2024,20,"0,174"
24/05/2024,21,"0,142"
24/05/2024,22,"1,732"
24/05/2024,23,"0,753"
24/05/2024,24,"0,282"
25/05/2024,1,"0,251"
25/05/2024,2,"0,223"
25/05/2024,3,"0,113"
25/05/2024,4,"0,128"
25/05/2024,5,"0,092"
25/05/2024,6,"0,097"
25/05/2024,7,"0,088"
25/05/2024,8,"0,085"
25/05/2024,9,"0,587"
25/05/2024,10,"0,694"
25/05/2024,11,"0,516"
25/05/2024,12,"1,059"
25/05/2024,13,"0,155"
25/05/2024,14,"0,102"
25/05/2024,15,"0,080"
25/05/2024,16,"0,091"
25/05/2024,17,"0,087"
25/05/2024,18,"0,202"
25/05/2024,19,"0,149"
25/05/2024,20,"0,119"
25/05/2024,21,"0,601"
25/05/2024,22,"0,691"
25/05/2024,23,"0,210"
25/05/2024,24,"0,292"
26/05/2024,1,"0,367"
26/05/2024,2,"0,198"
26/05/2024,3,"0,090"
26/05/2024,4,"0,090"
26/05/2024,5,"0,084"
26/05/2024,6,"0,087"
26/05/2024,7,"0,080"
26/05/2024,8,"0,083"
26/05/2024,9,"0,085"
26/05/2024,10,"0,134"
26/05/2024,11,"0,104"
26/05/2024,12,"0,281"
26/05/2024,13,"0,114"
26/05/2024,14,"0,101"
26/05/2024,15,"0,071"
26/05/2024,16,"0,564"
26/05/2024,17,"0,123"
26/05/2024,18,"0,117"
26/05/2024,19,"0,115"
26/05/2024,20,"0,176"
26/05/2024,21,"0,130"
26/05/2024,22,"0,085"
26/05/2024,23,"0,118"
26/05/2024,24,"0,148"
27/05/2024,1,"0,112"
27/05/2024,2,"0,824"
27/05/2024,3,"0,140"
27/05/2024,4,"0,134"
27/05/2024,5,"0,105"
27/05/2024,6,"0,112"
27/05/2024,7,"0,109"
27/05/2024,8,"0,104"
27/05/2024,9,"0,113"
27/05/2024,10,"0,141"
27/05/2024,11,"0,969"
27/05/2024,12,"0,320"
27/05/2024,13,"0,205"
27/05/2024,14,"0,110"
27/05/2024,15,"0,109"
27/05/2024,16,"0,111"
27/05/2024,17,"0,107"
27/05/2024,18,"0,111"
27/05/2024,19,"0,085"
27/05/2024,20,"0,369"
27/05/2024,21,"0,334"
27/05/2024,22,"1,983"
27/05/2024,23,"0,394"
27/05/2024,24,"0,228"
28/05/2024,1,"0,159"
28/05/2024,2,"0,148"
28/05/2024,3,"0,109"
28/05/2024,4,"0,083"
28/05/2024,5,"0,117"
28/05/2024,6,"0,105"
28/05/2024,7,"0,112"
28/05/2024,8,"0,109"
28/05/2024,9,"0,080"
28/05/2024,10,"0,167"
28/05/2024,11,"0,138"
28/05/2024,12,"0,129"
28/05/2024,13,"0,206"
28/05/2024,14,"0,153"
28/05/2024,15,"0,322"
28/05/2024,16,"0,726"
28/05/2024,17,"0,999"
28/05/2024,18,"0,297"
28/05/2024,19,"0,160"
28/05/2024,20,"0,217"
28/05/2024,21,"0,181"
28/05/2024,22,"0,376"
28/05/2024,23,"1,622"
28/05/2024,24,"0,242"
29/05/2024,1,"0,182"
29/05/2024,2,"0,176"
29/05/2024,3,"0,139"
29/05/2024,4,"0,111"
29/05/2024,5,"0,101"
29/05/2024,6,"0,109"
29/05/2024,7,"0,072"
29/05/2024,8,"0,110"
29/05/2024,9,"0,103"
29/05/2024,10,"0,080"
29/05/2024,11,"0,113"
29/05/2024,12,"0,115"
29/05/2024,13,"0,197"
29/05/2024,14,"0,188"
29/05/2024,15,"0,313"
29/05/2024,16,"0,559"
29/05/2024,17,"0,299"
29/05/2024,18,"0,338"
29/05/2024,19,"0,233"
29/05/2024,20,"0,242"
29/05/2024,21,"0,146"
29/05/2024,22,"0,609"
29/05/2024,23,"0,614"
29/05/2024,24,"0,375"
30/05/2024,1,"0,232"
30/05/2024,2,"0,193"
30/05/2024,3,"0,198"
30/05/2024,4,"0,190"
30/05/2024,5,"0,170"
30/05/2024,6,"0,195"
30/05/2024,7,"0,189"
30/05/2024,8,"0,161"
30/05/2024,9,"0,196"
