Fecha,Hora,AE_kWh
09/11/2023,1,"0,223"
09/11/2023,2,"0,615"
09/11/2023,3,"0,218"
09/11/2023,4,"0,652"
09/11/2023,5,"0,295"
09/11/2023,6,"0,810"
09/11/2023,7,"0,776"
09/11/2023,8,"0,542"
09/11/2023,9,"0,539"
09/11/2023,10,"0,542"
09/11/2023,11,"0,884"
09/11/2023,12,"0,658"
09/11/2023,13,"0,644"
09/11/2023,14,"0,310"
09/11/2023,15,"0,116"
09/11/2023,16,"0,600"
09/11/2023,17,"0,665"
09/11/2023,18,"0,184"
09/11/2023,19,"0,131"
09/11/2023,20,"0,986"
09/11/2023,21,"1,006"
09/11/2023,22,"0,801"
09/11/2023,23,"0,541"
09/11/2023,24,"0,778"
10/11/2023,1,"0,360"
10/11/2023,2,"0,571"
10/11/2023,3,"0,357"
10/11/2023,4,"0,635"
10/11/2023,5,"0,344"
10/11/2023,6,"0,701"
10/11/2023,7,"0,319"
10/11/2023,8,"0,946"
10/11/2023,9,"1,846"
10/11/2023,10,"0,534"
10/11/2023,11,"0,851"
10/11/2023,12,"0,334"
10/11/2023,13,"0,403"
10/11/2023,14,"0,218"
10/11/2023,15,"0,201"
10/11/2023,16,"0,109"
10/11/2023,17,"0,108"
10/11/2023,18,"0,101"
10/11/2023,19,"0,799"
10/11/2023,20,"0,615"
10/11/2023,21,"1,308"
10/11/2023,22,"0,834"
10/11/2023,23,"1,097"
10/11/2023,24,"0,824"
11/11/2023,1,"0,687"
11/11/2023,2,"0,141"
11/11/2023,3,"0,102"
11/11/2023,4,"0,257"
11/11/2023,5,"0,202"
11/11/2023,6,"0,217"
11/11/2023,7,"0,218"
11/11/2023,8,"0,308"
11/11/2023,9,"0,199"
11/11/2023,10,"1,828"
11/11/2023,11,"0,618"
11/11/2023,12,"0,121"
11/11/2023,13,"0,787"
11/11/2023,14,"0,112"
11/11/2023,15,"0,110"
11/11/2023,16,"0,100"
11/11/2023,17,"0,154"
11/11/2023,18,"0,103"
11/11/2023,19,"0,080"
11/11/2023,20,"0,100"
11/11/2023,21,"0,073"
11/11/2023,22,"0,072"
11/11/2023,23,"0,095"
11/11/2023,24,"0,084"
12/11/2023,1,"0,653"
12/11/2023,2,"0,176"
12/11/2023,3,"0,258"
12/11/2023,4,"0,207"
12/11/2023,5,"0,214"
12/11/2023,6,"0,276"
12/11/2023,7,"0,174"
12/11/2023,8,"0,186"
12/11/2023,9,"1,917"
12/11/2023,10,"0,475"
12/11/2023,11,"0,101"
12/11/2023,12,"0,101"
12/11/2023,13,"0,081"
12/11/2023,14,"0,094"
12/11/2023,15,"0,075"
12/11/2023,16,"0,080"
