Fecha,Hora,AE_kWh
09/01/2024,1,"3,711"
09/01/2024,2,"2,491"
09/01/2024,3,"2,619"
09/01/2024,4,"2,694"
09/01/2024,5,"2,495"
09/01/2024,6,"2,711"
09/01/2024,7,"2,353"
09/01/2024,8,"2,666"
09/01/2024,9,"2,595"
09/01/2024,10,"2,416"
09/01/2024,11,"1,917"
09/01/2024,12,"1,799"
09/01/2024,13,"1,296"
09/01/2024,14,"1,352"
09/01/2024,15,"2,048"
09/01/2024,16,"2,666"
09/01/2024,17,"1,082"
09/01/2024,18,"2,565"
09/01/2024,19,"1,882"
09/01/2024,20,"2,254"
09/01/2024,21,"2,490"
09/01/2024,22,"1,505"
09/01/2024,23,"3,169"
09/01/2024,24,"3,214"
10/01/2024,1,"2,491"
10/01/2024,2,"1,837"
10/01/2024,3,"1,795"
10/01/2024,4,"2,327"
10/01/2024,5,"1,594"
10/01/2024,6,"2,379"
10/01/2024,7,"1,833"
10/01/2024,8,"1,966"
10/01/2024,9,"2,295"
10/01/2024,10,"1,569"
10/01/2024,11,"2,539"
10/01/2024,12,"1,909"
10/01/2024,13,"2,682"
10/01/2024,14,"1,644"
10/01/2024,15,"2,146"
10/01/2024,16,"2,339"
10/01/2024,17,"1,699"
10/01/2024,18,"2,370"
10/01/2024,19,"1,928"
10/01/2024,20,"2,693"
10/01/2024,21,"1,668"
10/01/2024,22,"2,541"
10/01/2024,23,"2,166"
10/01/2024,24,"2,179"
11/01/2024,1,"1,954"
11/01/2024,2,"2,350"
11/01/2024,3,"1,879"
11/01/2024,4,"2,164"
11/01/2024,5,"2,352"
11/01/2024,6,"1,884"
11/01/2024,7,"2,401"
11/01/2024,8,"2,168"
11/01/2024,9,"2,193"
11/01/2024,10,"2,200"
11/01/2024,11,"1,935"
11/01/2024,12,"2,243"
11/01/2024,13,"1,513"
11/01/2024,14,"0,828"
11/01/2024,15,"1,473"
11/01/2024,16,"1,883"
11/01/2024,17,"1,579"
11/01/2024,18,"2,468"
11/01/2024,19,"2,592"
11/01/2024,20,"1,906"
11/01/2024,21,"2,742"
11/01/2024,22,"2,289"
11/01/2024,23,"2,518"
11/01/2024,24,"2,562"
12/01/2024,1,"1,966"
12/01/2024,2,"1,194"
12/01/2024,3,"1,145"
12/01/2024,4,"2,267"
12/01/2024,5,"1,013"
12/01/2024,6,"2,415"
12/01/2024,7,"1,218"
12/01/2024,8,"2,188"
12/01/2024,9,"2,348"
12/01/2024,10,"1,806"
12/01/2024,11,"2,338"
12/01/2024,12,"1,204"
12/01/2024,13,"1,669"
12/01/2024,14,"0,605"
12/01/2024,15,"1,505"
12/01/2024,16,"1,922"
12/01/2024,17,"2,085"
12/01/2024,18,"2,224"
12/01/2024,19,"2,258"
12/01/2024,20,"2,259"
12/01/2024,21,"1,848"
12/01/2024,22,"4,213"
12/01/2024,23,"2,842"
12/01/2024,24,"2,601"
13/01/2024,1,"2,897"
13/01/2024,2,"2,638"
13/01/2024,3,"2,287"
13/01/2024,4,"2,855"
13/01/2024,5,"2,500"
13/01/2024,6,"2,438"
13/01/2024,7,"2,759"
13/01/2024,8,"2,440"
13/01/2024,9,"2,597"
13/01/2024,10,"2,129"
13/01/2024,11,"1,735"
13/01/2024,12,"2,597"
13/01/2024,13,"1,019"
13/01/2024,14,"2,132"
13/01/2024,15,"2,571"
13/01/2024,16,"1,720"
13/01/2024,17,"2,445"
13/01/2024,18,"1,732"
13/01/2024,19,"2,736"
13/01/2024,20,"2,802"
13/01/2024,21,"3,263"
13/01/2024,22,"1,635"
13/01/2024,23,"2,351"
13/01/2024,24,"2,142"
14/01/2024,1,"1,374"
14/01/2024,2,"2,444"
14/01/2024,3,"1,780"
14/01/2024,4,"1,894"
14/01/2024,5,"2,264"
14/01/2024,6,"1,733"
14/01/2024,7,"2,171"
14/01/2024,8,"2,095"
14/01/2024,9,"1,719"
14/01/2024,10,"2,113"
14/01/2024,11,"2,066"
14/01/2024,12,"1,791"
14/01/2024,13,"0,594"
14/01/2024,14,"1,826"
14/01/2024,15,"1,601"
14/01/2024,16,"1,173"
14/01/2024,17,"1,587"
14/01/2024,18,"1,277"
14/01/2024,19,"1,604"
14/01/2024,20,"1,511"
14/01/2024,21,"2,620"
14/01/2024,22,"1,091"
14/01/2024,23,"2,862"
14/01/2024,24,"2,309"
15/01/2024,1,"1,893"
15/01/2024,2,"1,579"
15/01/2024,3,"1,632"
15/01/2024,4,"1,615"
15/01/2024,5,"1,907"
15/01/2024,6,"1,393"
15/01/2024,7,"2,422"
15/01/2024,8,"1,618"
15/01/2024,9,"1,794"
15/01/2024,10,"1,654"
15/01/2024,11,"1,557"
15/01/2024,12,"1,572"
15/01/2024,13,"1,758"
15/01/2024,14,"0,589"
15/01/2024,15,"1,611"
15/01/2024,16,"1,814"
15/01/2024,17,"1,488"
15/01/2024,18,"1,180"
15/01/2024,19,"1,397"
15/01/2024,20,"2,153"
15/01/2024,21,"1,149"
15/01/2024,22,"1,599"
15/01/2024,23,"1,576"
15/01/2024,24,"1,181"
16/01/2024,1,"1,819"
16/01/2024,2,"1,251"
16/01/2024,3,"1,718"
16/01/2024,4,"1,324"
16/01/2024,5,"1,776"
16/01/2024,6,"1,200"
16/01/2024,7,"1,883"
16/01/2024,8,"1,354"
16/01/2024,9,"1,316"
16/01/2024,10,"1,433"
16/01/2024,11,"1,638"
16/01/2024,12,"1,401"
16/01/2024,13,"1,080"
16/01/2024,14,"1,635"
16/01/2024,15,"0,665"
16/01/2024,16,"1,801"
16/01/2024,17,"0,579"
16/01/2024,18,"1,604"
16/01/2024,19,"0,865"
16/01/2024,20,"1,546"
16/01/2024,21,"1,425"
16/01/2024,22,"1,087"
16/01/2024,23,"1,645"
16/01/2024,24,"0,915"
17/01/2024,1,"1,482"
17/01/2024,2,"1,326"
17/01/2024,3,"0,964"
17/01/2024,4,"1,441"
17/01/2024,5,"1,105"
17/01/2024,6,"1,460"
17/01/2024,7,"1,215"
17/01/2024,8,"1,337"
17/01/2024,9,"1,319"
17/01/2024,10,"0,661"
17/01/2024,11,"1,665"
17/01/2024,12,"0,450"
17/01/2024,13,"1,461"
17/01/2024,14,"2,003"
17/01/2024,15,"1,959"
17/01/2024,16,"0,953"
17/01/2024,17,"1,409"
17/01/2024,18,"0,485"
17/01/2024,19,"2,728"
17/01/2024,20,"1,260"
17/01/2024,21,"1,520"
17/01/2024,22,"0,614"
17/01/2024,23,"1,168"
17/01/2024,24,"1,232"
18/01/2024,1,"0,531"
18/01/2024,2,"1,522"
18/01/2024,3,"0,841"
18/01/2024,4,"1,127"
18/01/2024,5,"1,126"
18/01/2024,6,"1,180"
18/01/2024,7,"1,093"
18/01/2024,8,"1,377"
18/01/2024,9,"0,851"
18/01/2024,10,"1,838"
18/01/2024,11,"0,463"
18/01/2024,12,"0,410"
18/01/2024,13,"0,416"
18/01/2024,14,"0,642"
18/01/2024,15,"0,722"
18/01/2024,16,"0,842"
18/01/2024,17,"0,495"
18/01/2024,18,"1,073"
18/01/2024,19,"0,478"
18/01/2024,20,"1,362"
18/01/2024,21,"0,641"
18/01/2024,22,"0,987"
18/01/2024,23,"1,151"
18/01/2024,24,"1,710"
19/01/2024,1,"1,114"
19/01/2024,2,"0,818"
19/01/2024,3,"1,126"
19/01/2024,4,"1,005"
19/01/2024,5,"0,964"
19/01/2024,6,"0,969"
19/01/2024,7,"1,176"
19/01/2024,8,"0,891"
19/01/2024,9,"0,957"
19/01/2024,10,"0,575"
19/01/2024,11,"1,372"
19/01/2024,12,"0,633"
19/01/2024,13,"1,208"
19/01/2024,14,"0,771"
19/01/2024,15,"1,505"
19/01/2024,16,"1,242"
19/01/2024,17,"1,989"
19/01/2024,18,"1,395"
19/01/2024,19,"1,337"
19/01/2024,20,"2,577"
19/01/2024,21,"1,481"
19/01/2024,22,"1,740"
19/01/2024,23,"2,194"
19/01/2024,24,"1,347"
20/01/2024,1,"2,577"
20/01/2024,2,"0,970"
20/01/2024,3,"2,274"
20/01/2024,4,"1,806"
20/01/2024,5,"2,049"
20/01/2024,6,"2,130"
20/01/2024,7,"2,080"
20/01/2024,8,"2,131"
20/01/2024,9,"2,046"
20/01/2024,10,"3,563"
20/01/2024,11,"1,603"
20/01/2024,12,"1,293"
20/01/2024,13,"1,647"
20/01/2024,14,"0,642"
20/01/2024,15,"2,853"
20/01/2024,16,"1,777"
