Fecha,Hora,AE_kWh
10/03/2024,1,"1,748"
10/03/2024,2,"1,118"
10/03/2024,3,"1,655"
10/03/2024,4,"1,993"
10/03/2024,5,"1,441"
10/03/2024,6,"2,336"
10/03/2024,7,"1,682"
10/03/2024,8,"1,852"
10/03/2024,9,"2,117"
10/03/2024,10,"0,927"
10/03/2024,11,"2,008"
10/03/2024,12,"0,189"
10/03/2024,13,"0,156"
10/03/2024,14,"0,148"
10/03/2024,15,"0,094"
10/03/2024,16,"0,073"
10/03/2024,17,"0,099"
10/03/2024,18,"0,099"
10/03/2024,19,"0,163"
10/03/2024,20,"0,333"
10/03/2024,21,"3,205"
10/03/2024,22,"1,453"
10/03/2024,23,"2,804"
10/03/2024,24,"1,588"
11/03/2024,1,"2,161"
11/03/2024,2,"1,507"
11/03/2024,3,"1,517"
11/03/2024,4,"1,905"
11/03/2024,5,"1,335"
11/03/2024,6,"1,977"
11/03/2024,7,"1,680"
11/03/2024,8,"1,683"
11/03/2024,9,"1,636"
11/03/2024,10,"0,853"
11/03/2024,11,"0,141"
11/03/2024,12,"0,460"
11/03/2024,13,"0,660"
11/03/2024,14,"0,719"
11/03/2024,15,"0,895"
11/03/2024,16,"0,907"
11/03/2024,17,"0,469"
11/03/2024,18,"0,740"
11/03/2024,19,"0,573"
11/03/2024,20,"1,348"
11/03/2024,21,"0,861"
11/03/2024,22,"1,005"
11/03/2024,23,"1,026"
11/03/2024,24,"1,207"
12/03/2024,1,"1,166"
12/03/2024,2,"0,794"
12/03/2024,3,"1,607"
12/03/2024,4,"0,771"
12/03/2024,5,"1,476"
12/03/2024,6,"1,607"
12/03/2024,7,"0,978"
12/03/2024,8,"2,268"
12/03/2024,9,"0,649"
12/03/2024,10,"1,165"
12/03/2024,11,"0,080"
12/03/2024,12,"0,325"
12/03/2024,13,"2,110"
12/03/2024,14,"2,762"
12/03/2024,15,"0,881"
12/03/2024,16,"0,551"
12/03/2024,17,"0,261"
12/03/2024,18,"0,696"
12/03/2024,19,"0,482"
12/03/2024,20,"1,299"
12/03/2024,21,"0,818"
12/03/2024,22,"1,205"
12/03/2024,23,"0,758"
12/03/2024,24,"1,296"
13/03/2024,1,"0,917"
13/03/2024,2,"1,189"
13/03/2024,3,"1,215"
13/03/2024,4,"1,245"
13/03/2024,5,"1,051"
13/03/2024,6,"1,602"
13/03/2024,7,"1,362"
