Fecha,Hora,AE_kWh
09/09/2023,1,"0,136"
09/09/2023,2,"0,048"
09/09/2023,3,"0,059"
09/09/2023,4,"0,072"
09/09/2023,5,"0,035"
09/09/2023,6,"0,062"
09/09/2023,7,"0,055"
09/09/2023,8,"0,045"
09/09/2023,9,"0,189"
09/09/2023,10,"0,190"
09/09/2023,11,"0,089"
09/09/2023,12,"0,104"
09/09/2023,13,"0,117"
09/09/2023,14,"0,150"
09/09/2023,15,"0,128"
09/09/2023,16,"0,121"
09/09/2023,17,"0,145"
09/09/2023,18,"0,069"
09/09/2023,19,"0,071"
09/09/2023,20,"0,057"
09/09/2023,21,"0,071"
09/09/2023,22,"0,080"
09/09/2023,23,"0,056"
09/09/2023,24,"0,056"
10/09/2023,1,"0,531"
10/09/2023,2,"0,171"
10/09/2023,3,"0,140"
10/09/2023,4,"0,078"
10/09/2023,5,"0,079"
10/09/2023,6,"0,076"
10/09/2023,7,"0,079"
10/09/2023,8,"0,049"
10/09/2023,9,"0,071"
10/09/2023,10,"0,403"
10/09/2023,11,"0,696"
10/09/2023,12,"0,335"
10/09/2023,13,"0,280"
10/09/2023,14,"0,237"
10/09/2023,15,"0,220"
10/09/2023,16,"0,204"
10/09/2023,17,"0,381"
10/09/2023,18,"0,253"
10/09/2023,19,"0,222"
10/09/2023,20,"0,272"
10/09/2023,21,"0,223"
10/09/2023,22,"0,223"
10/09/2023,23,"0,181"
10/09/2023,24,"0,197"
11/09/2023,1,"0,192"
11/09/2023,2,"0,073"
11/09/2023,3,"0,071"
11/09/2023,4,"0,045"
11/09/2023,5,"0,069"
11/09/2023,6,"0,042"
11/09/2023,7,"0,072"
11/09/2023,8,"0,069"
11/09/2023,9,"0,046"
11/09/2023,10,"0,136"
11/09/2023,11,"0,075"
11/09/2023,12,"0,077"
11/09/2023,13,"0,353"
11/09/2023,14,"0,359"
11/09/2023,15,"0,265"
11/09/2023,16,"0,281"
11/09/2023,17,"0,342"
11/09/2023,18,"0,333"
11/09/2023,19,"0,231"
11/09/2023,20,"0,141"
11/09/2023,21,"0,811"
11/09/2023,22,"0,259"
11/09/2023,23,"0,187"
11/09/2023,24,"0,410"
12/09/2023,1,"0,094"
12/09/2023,2,"0,085"
12/09/2023,3,"0,074"
12/09/2023,4,"0,044"
12/09/2023,5,"0,069"
12/09/2023,6,"0,079"
12/09/2023,7,"0,060"
12/09/2023,8,"0,130"
12/09/2023,9,"0,093"
12/09/2023,10,"0,065"
12/09/2023,11,"0,198"
12/09/2023,12,"0,082"
12/09/2023,13,"0,100"
12/09/2023,14,"0,078"
12/09/2023,15,"0,088"
12/09/2023,16,"0,062"
12/09/2023,17,"0,104"
12/09/2023,18,"0,162"
12/09/2023,19,"0,113"
12/09/2023,20,"0,093"
12/09/2023,21,"0,104"
12/09/2023,22,"0,331"
12/09/2023,23,"0,117"
12/09/2023,24,"0,101"
13/09/2023,1,"0,104"
13/09/2023,2,"0,075"
13/09/2023,3,"0,064"
13/09/2023,4,"0,069"
13/09/2023,5,"0,039"
13/09/2023,6,"0,069"
13/09/2023,7,"0,045"
13/09/2023,8,"0,075"
13/09/2023,9,"0,059"
13/09/2023,10,"0,380"
13/09/2023,11,"0,700"
13/09/2023,12,"0,201"
13/09/2023,13,"0,490"
13/09/2023,14,"0,079"
13/09/2023,15,"0,106"
13/09/2023,16,"0,078"
13/09/2023,17,"0,123"
13/09/2023,18,"0,086"
13/09/2023,19,"0,240"
13/09/2023,20,"0,201"
13/09/2023,21,"0,291"
13/09/2023,22,"0,169"
13/09/2023,23,"0,161"
13/09/2023,24,"0,150"
14/09/2023,1,"0,084"
14/09/2023,2,"0,083"
14/09/2023,3,"0,083"
14/09/2023,4,"0,046"
14/09/2023,5,"0,080"
14/09/2023,6,"0,057"
14/09/2023,7,"0,085"
14/09/2023,8,"0,079"
14/09/2023,9,"0,050"
14/09/2023,10,"0,407"
14/09/2023,11,"0,124"
14/09/2023,12,"0,108"
14/09/2023,13,"0,116"
14/09/2023,14,"0,107"
14/09/2023,15,"0,506"
14/09/2023,16,"0,233"
14/09/2023,17,"0,134"
14/09/2023,18,"0,093"
14/09/2023,19,"0,100"
14/09/2023,20,"0,100"
14/09/2023,21,"0,076"
14/09/2023,22,"0,167"
14/09/2023,23,"0,073"
14/09/2023,24,"0,185"
15/09/2023,1,"0,853"
15/09/2023,2,"0,125"
15/09/2023,3,"0,109"
15/09/2023,4,"0,082"
15/09/2023,5,"0,085"
15/09/2023,6,"0,052"
15/09/2023,7,"0,197"
15/09/2023,8,"0,175"
15/09/2023,9,"0,277"
15/09/2023,10,"0,088"
15/09/2023,11,"0,097"
15/09/2023,12,"0,080"
