Fecha,Hora,AE_kWh
09/11/2022,1,"0,094"
09/11/2022,2,"0,092"
09/11/2022,3,"0,088"
09/11/2022,4,"0,088"
09/11/2022,5,"0,041"
09/11/2022,6,"0,083"
09/11/2022,7,"0,088"
09/11/2022,8,"0,036"
09/11/2022,9,"0,600"
09/11/2022,10,"0,095"
09/11/2022,11,"0,042"
09/11/2022,12,"0,093"
09/11/2022,13,"0,043"
09/11/2022,14,"0,098"
09/11/2022,15,"0,097"
09/11/2022,16,"0,041"
09/11/2022,17,"0,100"
09/11/2022,18,"0,042"
09/11/2022,19,"0,114"
09/11/2022,20,"0,040"
09/11/2022,21,"0,689"
09/11/2022,22,"0,209"
09/11/2022,23,"1,829"
09/11/2022,24,"1,077"
10/11/2022,1,"0,122"
10/11/2022,2,"0,103"
10/11/2022,3,"0,095"
10/11/2022,4,"0,097"
10/11/2022,5,"0,094"
10/11/2022,6,"0,094"
10/11/2022,7,"0,099"
10/11/2022,8,"0,095"
10/11/2022,9,"0,171"
10/11/2022,10,"0,108"
10/11/2022,11,"0,092"
10/11/2022,12,"0,040"
10/11/2022,13,"0,088"
10/11/2022,14,"0,037"
10/11/2022,15,"0,095"
10/11/2022,16,"0,054"
10/11/2022,17,"0,084"
10/11/2022,18,"0,104"
10/11/2022,19,"0,071"
10/11/2022,20,"0,103"
10/11/2022,21,"0,055"
10/11/2022,22,"0,257"
10/11/2022,23,"0,127"
10/11/2022,24,"0,082"
11/11/2022,1,"0,135"
11/11/2022,2,"0,038"
11/11/2022,3,"0,092"
11/11/2022,4,"0,037"
11/11/2022,5,"0,090"
11/11/2022,6,"0,037"
11/11/2022,7,"0,095"
11/11/2022,8,"0,037"
11/11/2022,9,"0,217"
11/11/2022,10,"0,059"
11/11/2022,11,"0,108"
11/11/2022,12,"0,048"
11/11/2022,13,"0,289"
11/11/2022,14,"1,413"
11/11/2022,15,"0,220"
11/11/2022,16,"0,125"
11/11/2022,17,"0,091"
11/11/2022,18,"0,106"
11/11/2022,19,"0,089"
11/11/2022,20,"0,161"
11/11/2022,21,"0,155"
11/11/2022,22,"0,621"
11/11/2022,23,"0,236"
11/11/2022,24,"0,135"
12/11/2022,1,"0,181"
12/11/2022,2,"0,116"
12/11/2022,3,"0,136"
12/11/2022,4,"0,097"
12/11/2022,5,"0,049"
12/11/2022,6,"0,099"
12/11/2022,7,"0,049"
12/11/2022,8,"0,096"
12/11/2022,9,"0,276"
12/11/2022,10,"0,122"
12/11/2022,11,"0,129"
12/11/2022,12,"0,095"
12/11/2022,13,"0,097"
12/11/2022,14,"0,087"
12/11/2022,15,"0,061"
12/11/2022,16,"0,099"
12/11/2022,17,"0,049"
12/11/2022,18,"0,101"
12/11/2022,19,"0,051"
12/11/2022,20,"0,100"
12/11/2022,21,"0,063"
12/11/2022,22,"0,088"
12/11/2022,23,"0,103"
12/11/2022,24,"0,534"
13/11/2022,1,"0,206"
13/11/2022,2,"0,107"
13/11/2022,3,"0,099"
13/11/2022,4,"0,047"
13/11/2022,5,"0,102"
13/11/2022,6,"0,050"
13/11/2022,7,"0,108"
13/11/2022,8,"0,075"
13/11/2022,9,"0,142"
13/11/2022,10,"0,049"
13/11/2022,11,"0,234"
13/11/2022,12,"0,434"
13/11/2022,13,"0,231"
13/11/2022,14,"0,227"
13/11/2022,15,"1,391"
13/11/2022,16,"1,555"
13/11/2022,17,"0,283"
13/11/2022,18,"2,431"
13/11/2022,19,"1,972"
13/11/2022,20,"0,659"
13/11/2022,21,"0,909"
13/11/2022,22,"1,146"
13/11/2022,23,"0,168"
13/11/2022,24,"0,118"
14/11/2022,1,"0,106"
14/11/2022,2,"0,104"
14/11/2022,3,"0,109"
14/11/2022,4,"0,058"
14/11/2022,5,"0,106"
14/11/2022,6,"0,106"
14/11/2022,7,"0,164"
14/11/2022,8,"0,131"
14/11/2022,9,"0,202"
14/11/2022,10,"0,092"
14/11/2022,11,"0,123"
14/11/2022,12,"0,116"
14/11/2022,13,"0,166"
14/11/2022,14,"0,119"
14/11/2022,15,"0,166"
14/11/2022,16,"0,410"
14/11/2022,17,"0,264"
14/11/2022,18,"0,125"
14/11/2022,19,"0,059"
14/11/2022,20,"0,113"
14/11/2022,21,"0,553"
14/11/2022,22,"0,153"
14/11/2022,23,"0,844"
14/11/2022,24,"0,183"
15/11/2022,1,"0,104"
15/11/2022,2,"0,137"
15/11/2022,3,"0,095"
15/11/2022,4,"0,092"
15/11/2022,5,"0,093"
15/11/2022,6,"0,095"
15/11/2022,7,"0,182"
15/11/2022,8,"0,145"
15/11/2022,9,"0,286"
15/11/2022,10,"0,174"
15/11/2022,11,"0,157"
15/11/2022,12,"0,160"
15/11/2022,13,"0,153"
15/11/2022,14,"0,158"
15/11/2022,15,"0,166"
15/11/2022,16,"0,812"
15/11/2022,17,"0,076"
15/11/2022,18,"0,105"
15/11/2022,19,"0,121"
15/11/2022,20,"0,081"
15/11/2022,21,"0,445"
15/11/2022,22,"0,673"
15/11/2022,23,"0,118"
15/11/2022,24,"0,125"
16/11/2022,1,"0,106"
16/11/2022,2,"0,102"
16/11/2022,3,"0,101"
16/11/2022,4,"0,104"
16/11/2022,5,"0,100"
16/11/2022,6,"0,098"
16/11/2022,7,"0,053"
16/11/2022,8,"0,100"
16/11/2022,9,"0,306"
16/11/2022,10,"0,087"
16/11/2022,11,"0,107"
16/11/2022,12,"0,104"
16/11/2022,13,"1,099"
16/11/2022,14,"0,803"
16/11/2022,15,"1,070"
16/11/2022,16,"0,152"
16/11/2022,17,"0,200"
16/11/2022,18,"0,157"
16/11/2022,19,"0,164"
16/11/2022,20,"1,224"
16/11/2022,21,"1,043"
16/11/2022,22,"0,189"
16/11/2022,23,"0,217"
16/11/2022,24,"0,069"
17/11/2022,1,"0,095"
17/11/2022,2,"0,104"
17/11/2022,3,"0,048"
17/11/2022,4,"0,094"
17/11/2022,5,"0,050"
17/11/2022,6,"0,097"
17/11/2022,7,"0,097"
17/11/2022,8,"0,174"
17/11/2022,9,"0,165"
17/11/2022,10,"0,228"
17/11/2022,11,"0,178"
17/11/2022,12,"0,180"
17/11/2022,13,"0,073"
17/11/2022,14,"0,095"
17/11/2022,15,"0,048"
17/11/2022,16,"0,095"
17/11/2022,17,"0,096"
17/11/2022,18,"0,049"
17/11/2022,19,"0,096"
17/11/2022,20,"0,097"
17/11/2022,21,"0,179"
17/11/2022,22,"0,128"
17/11/2022,23,"0,206"
17/11/2022,24,"0,168"
18/11/2022,1,"0,067"
18/11/2022,2,"0,097"
18/11/2022,3,"0,048"
18/11/2022,4,"0,096"
18/11/2022,5,"0,094"
18/11/2022,6,"0,048"
18/11/2022,7,"0,220"
18/11/2022,8,"0,087"
18/11/2022,9,"0,143"
18/11/2022,10,"0,071"
18/11/2022,11,"0,167"
18/11/2022,12,"0,160"
18/11/2022,13,"0,173"
18/11/2022,14,"0,202"
18/11/2022,15,"0,134"
18/11/2022,16,"0,151"
18/11/2022,17,"0,231"
18/11/2022,18,"0,250"
18/11/2022,19,"0,978"
18/11/2022,20,"0,481"
18/11/2022,21,"0,613"
18/11/2022,22,"0,236"
18/11/2022,23,"0,190"
18/11/2022,24,"0,463"
19/11/2022,1,"0,188"
19/11/2022,2,"0,097"
19/11/2022,3,"0,092"
19/11/2022,4,"0,093"
19/11/2022,5,"0,094"
19/11/2022,6,"0,420"
19/11/2022,7,"0,154"
19/11/2022,8,"0,201"
19/11/2022,9,"2,127"
19/11/2022,10,"2,486"
19/11/2022,11,"0,565"
19/11/2022,12,"0,479"
19/11/2022,13,"0,127"
19/11/2022,14,"0,112"
19/11/2022,15,"0,493"
19/11/2022,16,"2,202"
19/11/2022,17,"2,006"
19/11/2022,18,"0,459"
19/11/2022,19,"0,137"
19/11/2022,20,"0,528"
19/11/2022,21,"2,890"
19/11/2022,22,"2,879"
19/11/2022,23,"2,392"
19/11/2022,24,"0,958"
20/11/2022,1,"0,414"
20/11/2022,2,"0,324"
20/11/2022,3,"0,140"
20/11/2022,4,"0,092"
20/11/2022,5,"0,091"
20/11/2022,6,"0,085"
20/11/2022,7,"0,091"
20/11/2022,8,"0,149"
20/11/2022,9,"0,087"
