Fecha,Hora,AE_kWh
10/07/2023,1,"0,176"
10/07/2023,2,"0,155"
10/07/2023,3,"0,114"
10/07/2023,4,"0,145"
10/07/2023,5,"0,127"
10/07/2023,6,"0,141"
10/07/2023,7,"0,224"
10/07/2023,8,"0,142"
10/07/2023,9,"0,169"
10/07/2023,10,"0,183"
10/07/2023,11,"0,162"
10/07/2023,12,"0,192"
10/07/2023,13,"0,223"
10/07/2023,14,"0,595"
10/07/2023,15,"0,203"
10/07/2023,16,"0,674"
10/07/2023,17,"0,244"
10/07/2023,18,"0,258"
10/07/2023,19,"0,257"
10/07/2023,20,"0,274"
10/07/2023,21,"0,910"
10/07/2023,22,"0,350"
10/07/2023,23,"0,178"
10/07/2023,24,"0,174"
11/07/2023,1,"0,130"
11/07/2023,2,"0,123"
11/07/2023,3,"0,154"
11/07/2023,4,"0,189"
11/07/2023,5,"0,143"
11/07/2023,6,"0,158"
11/07/2023,7,"0,115"
11/07/2023,8,"0,181"
11/07/2023,9,"0,154"
11/07/2023,10,"0,124"
11/07/2023,11,"0,197"
11/07/2023,12,"0,146"
11/07/2023,13,"0,162"
11/07/2023,14,"0,185"
11/07/2023,15,"0,164"
11/07/2023,16,"0,173"
11/07/2023,17,"0,191"
11/07/2023,18,"0,156"
11/07/2023,19,"0,149"
11/07/2023,20,"0,164"
11/07/2023,21,"0,698"
11/07/2023,22,"0,203"
11/07/2023,23,"0,237"
11/07/2023,24,"0,173"
12/07/2023,1,"0,125"
12/07/2023,2,"0,147"
12/07/2023,3,"0,114"
12/07/2023,4,"0,119"
12/07/2023,5,"0,199"
12/07/2023,6,"0,118"
12/07/2023,7,"0,103"
12/07/2023,8,"0,145"
12/07/2023,9,"0,242"
12/07/2023,10,"0,147"
12/07/2023,11,"0,180"
12/07/2023,12,"0,209"
12/07/2023,13,"0,255"
12/07/2023,14,"0,170"
12/07/2023,15,"0,143"
12/07/2023,16,"0,166"
12/07/2023,17,"0,144"
12/07/2023,18,"0,244"
12/07/2023,19,"0,242"
12/07/2023,20,"0,818"
12/07/2023,21,"0,080"
