Fecha,Hora,AE_kWh
10/05/2023,1,"0,105"
10/05/2023,2,"0,100"
10/05/2023,3,"0,073"
10/05/2023,4,"0,148"
10/05/2023,5,"0,092"
10/05/2023,6,"0,075"
10/05/2023,7,"0,080"
10/05/2023,8,"0,076"
10/05/2023,9,"0,059"
10/05/2023,10,"0,320"
10/05/2023,11,"0,252"
10/05/2023,12,"0,111"
10/05/2023,13,"0,120"
10/05/2023,14,"0,105"
10/05/2023,15,"0,096"
10/05/2023,16,"0,119"
10/05/2023,17,"0,119"
10/05/2023,18,"0,121"
10/05/2023,19,"0,126"
10/05/2023,20,"0,126"
10/05/2023,21,"0,245"
10/05/2023,22,"0,210"
10/05/2023,23,"0,117"
10/05/2023,24,"0,093"
11/05/2023,1,"0,060"
11/05/2023,2,"0,081"
11/05/2023,3,"0,073"
11/05/2023,4,"0,107"
11/05/2023,5,"0,089"
11/05/2023,6,"0,075"
11/05/2023,7,"0,223"
11/05/2023,8,"0,127"
11/05/2023,9,"0,097"
11/05/2023,10,"0,114"
11/05/2023,11,"0,118"
11/05/2023,12,"0,371"
11/05/2023,13,"0,183"
11/05/2023,14,"0,458"
11/05/2023,15,"0,120"
11/05/2023,16,"0,124"
11/05/2023,17,"0,205"
11/05/2023,18,"0,148"
11/05/2023,19,"0,170"
11/05/2023,20,"0,182"
11/05/2023,21,"0,547"
11/05/2023,22,"0,199"
11/05/2023,23,"0,433"
11/05/2023,24,"0,807"
12/05/2023,1,"0,102"
12/05/2023,2,"0,099"
12/05/2023,3,"0,097"
12/05/2023,4,"0,069"
12/05/2023,5,"0,069"
12/05/2023,6,"0,132"
12/05/2023,7,"0,118"
12/05/2023,8,"0,112"
12/05/2023,9,"0,147"
12/05/2023,10,"0,136"
12/05/2023,11,"0,090"
12/05/2023,12,"0,123"
12/05/2023,13,"0,133"
12/05/2023,14,"0,130"
12/05/2023,15,"0,127"
12/05/2023,16,"0,103"
12/05/2023,17,"0,068"
12/05/2023,18,"0,094"
12/05/2023,19,"0,147"
12/05/2023,20,"0,092"
12/05/2023,21,"0,098"
12/05/2023,22,"0,480"
12/05/2023,23,"0,176"
12/05/2023,24,"0,189"
13/05/2023,1,"0,142"
13/05/2023,2,"0,073"
13/05/2023,3,"0,075"
13/05/2023,4,"0,067"
13/05/2023,5,"0,072"
